Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-10-27,25-261,GSW,,NOP,W (+16),1,26:26:00,3,8,0.375,0,2,0,3,3,1,0,5,5,3,1,1,7,5,9,0.9,4
2,2,2015-10-30,25-264,GSW,@,HOU,W (+20),1,24:03:00,4,10,0.4,1,5,0.2,2,2,1,0,2,2,0,1,0,2,3,11,4,7
3,3,2015-10-31,25-265,GSW,@,NOP,W (+14),1,27:20:00,6,12,0.5,2,5,0.4,5,5,1,0,3,3,1,0,1,0,4,19,13.7,9
4,4,2015-11-02,25-267,GSW,,MEM,W (+50),1,26:27:00,6,11,0.545,2,3,0.667,0,0,,0,7,7,2,0,2,2,0,14,11.6,41
5,5,2015-11-04,25-269,GSW,,LAC,W (+4),1,32:27:00,7,18,0.389,0,2,0,2,2,1,1,4,5,5,2,1,2,2,16,11.5,2
6,6,2015-11-06,25-271,GSW,,DEN,W (+15),1,30:13:00,7,16,0.438,4,8,0.5,0,0,,0,6,6,5,0,0,1,0,18,13.9,13
7,7,2015-11-07,25-272,GSW,@,SAC,W (+9),1,35:39:00,7,16,0.438,4,11,0.364,0,0,,0,3,3,3,0,1,3,4,18,8.7,-4
8,8,2015-11-09,25-274,GSW,,DET,W (+14),1,32:18:00,10,17,0.588,4,7,0.571,0,0,,0,3,3,1,2,0,2,1,24,17.3,9
9,9,2015-11-11,25-276,GSW,@,MEM,W (+16),1,34:37:00,3,9,0.333,2,5,0.4,0,0,,2,5,7,2,1,2,3,3,8,5.4,11
10,10,2015-11-12,25-277,GSW,@,MIN,W (+13),1,37:25:00,6,16,0.375,3,9,0.333,0,0,,0,2,2,2,1,1,4,1,15,5.5,28
11,,2015-11-14,25-279,GSW,,BRK,W (+8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
12,11,2015-11-17,25-282,GSW,,TOR,W (+5),1,34:18:00,8,19,0.421,2,9,0.222,1,2,0.5,0,1,1,3,0,0,0,3,19,9.7,4
13,12,2015-11-19,25-284,GSW,@,LAC,W (+7),1,38:59:00,6,12,0.5,3,5,0.6,10,12,0.833,2,1,3,2,0,0,2,2,25,18.5,6
14,13,2015-11-20,25-285,GSW,,CHI,W (+12),1,36:01:00,6,12,0.5,2,4,0.5,1,2,0.5,1,2,3,3,0,1,1,3,15,10.5,8
15,14,2015-11-22,25-287,GSW,@,DEN,W (+13),1,31:37:00,7,16,0.438,4,7,0.571,3,4,0.75,0,3,3,7,0,1,1,2,21,16.9,9
16,15,2015-11-24,25-289,GSW,,LAL,W (+34),1,27:41:00,3,12,0.25,2,6,0.333,3,4,0.75,0,3,3,2,0,1,1,0,11,5.4,27
17,16,2015-11-27,25-292,GSW,@,PHO,W (+19),1,26:46:00,6,11,0.545,3,8,0.375,0,0,,0,2,2,0,0,1,2,4,15,7.4,16
18,17,2015-11-28,25-293,GSW,,SAC,W (+19),1,26:00:00,6,10,0.6,3,6,0.5,0,0,,0,0,0,2,1,0,2,1,15,10.4,15
19,18,2015-11-30,25-295,GSW,@,UTA,W (+3),1,35:48:00,8,15,0.533,4,7,0.571,0,0,,1,4,5,2,0,2,0,1,20,17,4
20,19,2015-12-02,25-297,GSW,@,CHO,W (+17),1,29:06:00,8,18,0.444,4,10,0.4,1,2,0.5,0,3,3,0,1,1,2,3,21,10.6,9
21,20,2015-12-05,25-300,GSW,@,TOR,W (+3),1,35:26:00,7,15,0.467,6,9,0.667,6,6,1,0,4,4,1,0,0,2,4,26,16.6,12
22,21,2015-12-06,25-301,GSW,@,BRK,W (+16),1,32:11:00,8,18,0.444,3,10,0.3,2,2,1,0,3,3,3,1,2,1,1,21,15.6,6
23,22,2015-12-08,25-303,GSW,@,IND,W (+8),1,34:28:00,13,21,0.619,10,16,0.625,3,3,1,1,6,7,6,0,1,4,2,39,32.1,19
24,,2015-12-11,25-306,GSW,@,BOS,W (+5),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
25,23,2015-12-12,25-307,GSW,@,MIL,L (-13),1,30:27:00,4,14,0.286,2,7,0.286,2,4,0.5,1,1,2,3,1,0,2,4,12,3.5,-5
26,24,2015-12-16,25-311,GSW,,PHO,W (+25),1,30:32:00,15,22,0.682,8,13,0.615,5,5,1,0,3,3,2,1,0,1,0,43,35.9,37
27,25,2015-12-18,25-313,GSW,,MIL,W (+9),1,36:47:00,8,16,0.5,2,9,0.222,9,10,0.9,0,3,3,2,1,3,1,2,27,22.2,22
28,26,2015-12-23,25-318,GSW,,UTA,W (+18),1,34:26:00,6,16,0.375,3,7,0.429,5,5,1,0,2,2,1,0,0,1,0,20,11.5,15
29,27,2015-12-25,25-320,GSW,,CLE,W (+6),1,35:59:00,6,16,0.375,1,4,0.25,5,6,0.833,2,4,6,1,0,1,1,1,18,11.4,2
30,28,2015-12-28,25-323,GSW,,SAC,W (+19),1,36:59:00,10,22,0.455,5,12,0.417,4,6,0.667,1,4,5,2,1,1,4,3,29,16.6,23
31,29,2015-12-30,25-325,GSW,@,DAL,L (-23),1,33:57:00,4,15,0.267,1,4,0.25,1,2,0.5,0,1,1,2,0,0,2,1,10,0,-11
32,30,2015-12-31,25-326,GSW,@,HOU,W (+4),1,40:00:00,16,27,0.593,6,11,0.545,0,3,0,2,5,7,0,0,1,4,5,38,21.9,10
33,31,2016-01-02,25-328,GSW,,DEN,W (+3),1,45:58:00,11,27,0.407,2,9,0.222,2,4,0.5,0,7,7,3,2,0,1,0,26,15.9,13
34,32,2016-01-04,25-330,GSW,,CHO,W (+10),1,37:21:00,11,23,0.478,6,11,0.545,2,2,1,0,5,5,3,0,1,2,2,30,19.8,14
35,33,2016-01-05,25-331,GSW,@,LAL,W (+21),1,34:25:00,12,22,0.545,6,13,0.462,6,6,1,0,2,2,1,0,1,1,1,36,26,29
36,34,2016-01-08,25-334,GSW,@,POR,W (+20),1,32:21:00,13,22,0.591,7,10,0.7,3,4,0.75,0,6,6,5,0,0,0,1,36,30.3,27
37,35,2016-01-09,25-335,GSW,@,SAC,W (+12),1,34:37:00,7,17,0.412,1,7,0.143,0,0,,0,4,4,6,0,1,2,1,15,9.6,17
38,36,2016-01-11,25-337,GSW,,MIA,W (+8),1,34:33:00,6,15,0.4,2,4,0.5,3,3,1,1,6,7,2,2,0,3,2,17,11,-3
39,37,2016-01-13,25-339,GSW,@,DEN,L (-2),1,36:34:00,7,13,0.538,2,5,0.4,1,2,0.5,1,3,4,3,0,0,2,2,17,11.2,4
40,38,2016-01-14,25-340,GSW,,LAL,W (+18),1,27:08:00,4,14,0.286,2,5,0.4,2,2,1,1,2,3,1,0,1,1,2,12,4.7,10
41,39,2016-01-16,25-342,GSW,@,DET,L (-18),1,32:02:00,8,18,0.444,1,5,0.2,7,8,0.875,1,5,6,1,0,0,2,1,24,14.7,-4
42,40,2016-01-18,25-344,GSW,@,CLE,W (+34),1,25:50:00,5,11,0.455,1,5,0.2,4,4,1,0,1,1,2,1,0,1,3,15,9.8,27
43,41,2016-01-20,25-346,GSW,@,CHI,W (+31),1,32:07:00,7,18,0.389,3,8,0.375,3,4,0.75,0,5,5,1,0,3,0,2,20,13.3,12
44,42,2016-01-22,25-348,GSW,,IND,W (+12),1,34:52:00,6,16,0.375,4,10,0.4,2,2,1,1,2,3,5,0,0,3,0,18,11,18
45,43,2016-01-25,25-351,GSW,,SAS,W (+30),1,25:26:00,4,10,0.4,0,3,0,3,3,1,0,4,4,1,0,0,2,3,11,4.3,22
46,44,2016-01-27,25-353,GSW,,DAL,W (+20),1,31:33:00,14,20,0.7,7,12,0.583,10,10,1,0,5,5,1,0,2,1,1,45,38.8,14
47,45,2016-01-30,25-356,GSW,@,PHI,W (+3),1,32:53:00,14,26,0.538,4,10,0.4,0,0,,0,2,2,3,0,0,5,1,32,16.7,13
48,46,2016-01-31,25-357,GSW,@,NYK,W (+21),1,32:05:00,14,18,0.778,5,6,0.833,1,1,1,0,1,1,2,1,0,3,5,34,24.7,24
49,47,2016-02-03,25-360,GSW,@,WAS,W (+13),1,33:09:00,8,19,0.421,6,13,0.462,2,2,1,0,4,4,0,1,0,1,1,24,14.7,16
50,48,2016-02-06,25-363,GSW,,OKC,W (+8),1,34:16:00,8,15,0.533,1,6,0.167,1,1,1,0,4,4,0,0,0,2,3,18,8.7,2
51,49,2016-02-09,26-001,GSW,,HOU,W (+13),1,34:51:00,5,19,0.263,0,7,0,3,4,0.75,0,2,2,3,0,0,2,2,13,1.2,4
52,50,2016-02-10,26-002,GSW,@,PHO,W (+8),1,33:16:00,8,20,0.4,5,13,0.385,3,3,1,0,3,3,1,5,0,2,2,24,17,15
53,51,2016-02-19,26-011,GSW,@,POR,L (-32),1,28:28:00,8,16,0.5,2,5,0.4,5,6,0.833,0,3,3,1,1,0,1,1,23,15.8,2
54,52,2016-02-20,26-012,GSW,@,LAC,W (+3),1,39:31:00,11,22,0.5,4,9,0.444,6,6,1,0,7,7,3,3,0,0,1,32,27.8,16
55,53,2016-02-22,26-014,GSW,@,ATL,W (+10),1,36:51:00,10,23,0.435,5,14,0.357,2,2,1,0,2,2,3,3,0,1,3,27,18.4,16
56,54,2016-02-24,26-016,GSW,@,MIA,W (+6),1,33:54:00,13,25,0.52,4,8,0.5,3,3,1,0,3,3,0,4,0,1,2,33,23.8,9
57,55,2016-02-25,26-017,GSW,@,ORL,W (+16),1,29:08:00,4,10,0.4,1,5,0.2,0,0,,0,2,2,1,0,1,1,1,9,4.2,5
58,56,2016-02-27,26-019,GSW,@,OKC,W (+3),1,39:26:00,12,23,0.522,2,9,0.222,6,7,0.857,0,3,3,1,2,1,1,3,32,22.4,-1
59,57,2016-03-01,26-022,GSW,,ATL,W (+4),1,39:21:00,8,27,0.296,6,16,0.375,4,4,1,0,6,6,5,1,0,2,3,26,13.4,2
60,58,2016-03-03,26-024,GSW,,OKC,W (+15),1,34:29:00,10,19,0.526,1,7,0.143,0,0,,0,2,2,3,2,0,2,1,21,14,6
61,59,2016-03-06,26-027,GSW,@,LAL,L (-17),1,29:35:00,7,20,0.35,0,8,0,1,1,1,1,3,4,2,2,0,1,0,15,7.8,-9
